treatment,plant,day,num_sdb
fructose,7,3,3
fructose,7,4,0
fructose,7,5,2
fructose,7,6,1
fructose,7,7,1
fructose,7,8,1
fructose,7,9,0
fructose,7,10,0
fructose,7,11,0
fructose,7,12,1
fructose,7,14,0
fructose,7,15,0
fructose,7,16,0
fructose,7,17,0
fructose,7,18,0
fructose,7,19,0
fructose,7,20,0
fructose,7,21,0
fructose,7,22,0
fructose,7,23,0
fructose,7,24,0
fructose,7,25,0
fructose,7,26,0
fructose,7,27,0
fructose,7,28,0
fructose,7,29,0
fructose,7,30,0
fructose,7,31,0
fructose,7,32,0
fructose,7,33,0
fructose,7,34,0
fructose,21,0.041666667,3
fructose,21,0.166666667,2
fructose,21,0.333333333,3
fructose,21,1,2
fructose,21,2,0
fructose,21,3,0
fructose,21,4,2
fructose,21,5,0
fructose,21,6,0
fructose,21,7,0
fructose,21,8,2
fructose,21,9,2
fructose,21,10,1
fructose,21,11,0
fructose,21,12,1
fructose,21,14,2
fructose,21,15,0
fructose,21,16,1
fructose,21,17,1
fructose,21,18,1
fructose,21,19,0
fructose,21,20,0
fructose,21,21,0
fructose,21,22,0
fructose,21,23,1
fructose,21,24,1
fructose,21,25,1
fructose,21,26,0
fructose,21,27,1
fructose,21,28,1
fructose,21,29,0
fructose,21,30,0
fructose,21,31,1
fructose,21,32,1
fructose,21,33,0
fructose,21,34,0
fructose,22,0.041666667,2
fructose,22,0.166666667,2
fructose,22,0.333333333,0
fructose,22,1,0
fructose,22,2,0
fructose,22,3,0
fructose,22,4,0
fructose,22,5,0
fructose,22,6,0
fructose,22,7,0
fructose,22,8,0
fructose,22,9,0
fructose,22,10,0
fructose,22,11,0
fructose,22,12,0
fructose,22,14,0
fructose,22,15,0
fructose,22,16,0
fructose,22,17,0
fructose,22,18,0
fructose,22,19,0
fructose,22,20,0
fructose,22,21,0
fructose,22,22,0
fructose,22,23,0
fructose,22,24,0
fructose,22,25,0
fructose,22,26,0
fructose,22,27,0
fructose,22,28,0
fructose,22,29,0
fructose,22,30,0
fructose,22,31,0
fructose,22,32,0
fructose,22,33,0
fructose,22,34,0
fructose,23,0.041666667,0
fructose,23,0.166666667,0
fructose,23,0.333333333,0
fructose,23,1,0
fructose,23,2,0
fructose,23,3,0
fructose,23,4,0
fructose,23,5,0
fructose,23,6,0
fructose,23,7,0
fructose,23,8,0
fructose,23,9,0
fructose,23,10,0
fructose,23,11,0
fructose,23,12,0
fructose,23,14,0
fructose,23,15,0
fructose,23,16,0
fructose,23,17,0
fructose,23,18,0
fructose,23,19,0
fructose,23,20,0
fructose,23,21,0
fructose,23,22,0
fructose,23,23,0
fructose,23,24,0
fructose,23,25,0
fructose,23,26,0
fructose,23,27,0
fructose,23,28,0
fructose,23,29,0
fructose,23,30,0
fructose,23,31,0
fructose,23,32,0
fructose,23,33,0
fructose,23,34,0
fructose,29,0.041666667,1
fructose,29,0.166666667,2
fructose,29,0.333333333,2
fructose,29,1,0
fructose,29,2,0
fructose,29,3,1
fructose,29,4,0
fructose,29,5,0
fructose,29,6,0
fructose,29,7,0
fructose,29,8,0
fructose,29,9,0
fructose,29,10,0
fructose,29,11,0
fructose,29,12,0
fructose,29,14,0
fructose,29,15,0
fructose,29,16,0
fructose,29,17,0
fructose,29,18,0
fructose,29,19,0
fructose,29,20,0
fructose,29,21,0
fructose,29,22,0
fructose,29,23,0
fructose,29,24,0
fructose,29,25,0
fructose,29,26,0
fructose,29,27,0
fructose,29,28,0
fructose,29,29,0
fructose,29,30,0
fructose,29,31,0
fructose,29,32,0
fructose,29,33,0
fructose,29,34,0
fructose,30,0.041666667,0
fructose,30,0.166666667,1
fructose,30,0.333333333,2
fructose,30,1,1
fructose,30,2,0
fructose,30,3,1
fructose,30,4,1
fructose,30,5,1
fructose,30,6,2
fructose,30,7,0
fructose,30,8,0
fructose,30,9,0
fructose,30,10,1
fructose,30,11,0
fructose,30,12,0
fructose,30,14,1
fructose,30,15,1
fructose,30,16,2
fructose,30,17,2
fructose,30,18,0
fructose,30,19,0
fructose,30,20,0
fructose,30,21,0
fructose,30,22,0
fructose,30,23,1
fructose,30,24,0
fructose,30,25,0
fructose,30,26,0
fructose,30,27,0
fructose,30,28,0
fructose,30,29,0
fructose,30,30,0
fructose,30,31,0
fructose,30,32,0
fructose,30,33,0
fructose,30,34,0
fructose,34,0.041666667,1
fructose,34,0.166666667,1
fructose,34,0.333333333,0
fructose,34,1,1
fructose,34,2,1
fructose,34,3,1
fructose,34,4,0
fructose,34,5,0
fructose,34,6,1
fructose,34,7,0
fructose,34,8,0
fructose,34,9,0
fructose,34,10,0
fructose,34,11,1
fructose,34,12,0
fructose,34,14,2
fructose,34,15,2
fructose,34,16,2
fructose,34,17,1
fructose,34,18,0
fructose,34,19,0
fructose,34,20,0
fructose,34,21,0
fructose,34,22,0
fructose,34,23,0
fructose,34,24,0
fructose,34,25,0
fructose,34,26,0
fructose,34,27,0
fructose,34,28,0
fructose,34,29,0
fructose,34,30,0
fructose,34,31,0
fructose,34,32,0
fructose,34,33,0
fructose,34,34,0
fructose,41,0.041666667,1.375
fructose,41,0.166666667,1.375
fructose,41,0.333333333,1.25
fructose,41,1,0.75
fructose,41,2,0.5
fructose,41,3,0.75
fructose,41,4,0.625
fructose,41,5,0.5
fructose,41,6,0.625
fructose,41,7,0.25
fructose,41,8,0.75
fructose,41,9,0.5
fructose,41,10,0.25
fructose,41,11,0.125
fructose,41,12,0.5
fructose,41,14,1
fructose,41,15,0.375
fructose,41,16,0.625
fructose,41,17,0.5
fructose,41,18,0.125
fructose,41,19,0
fructose,41,20,0
fructose,41,21,0
fructose,41,22,0
fructose,41,23,0.25
fructose,41,24,0.125
fructose,41,25,0.125
fructose,41,26,0
fructose,41,27,0.125
fructose,41,28,0.125
fructose,41,29,0
fructose,41,30,0
fructose,41,31,0.125
fructose,41,32,0.125
fructose,41,33,0
fructose,41,34,0
wheast_paste,3,0.041666667,1
wheast_paste,3,0.166666667,0
wheast_paste,3,0.333333333,2
wheast_paste,3,1,0
wheast_paste,3,2,1
wheast_paste,3,3,1
wheast_paste,3,4,0
wheast_paste,3,5,0
wheast_paste,3,6,0
wheast_paste,3,7,0
wheast_paste,3,8,1
wheast_paste,3,9,0
wheast_paste,3,10,0
wheast_paste,3,11,0
wheast_paste,3,12,0
wheast_paste,3,14,0
wheast_paste,3,15,1
wheast_paste,3,16,1
wheast_paste,3,17,0
wheast_paste,3,18,0
wheast_paste,3,19,0
wheast_paste,3,20,0
wheast_paste,3,21,0
wheast_paste,3,22,0
wheast_paste,3,23,0
wheast_paste,3,24,0
wheast_paste,3,25,0
wheast_paste,3,26,0
wheast_paste,3,27,0
wheast_paste,3,28,0
wheast_paste,3,29,0
wheast_paste,3,30,0
wheast_paste,3,31,0
wheast_paste,3,32,0
wheast_paste,3,33,0
wheast_paste,3,34,0
wheast_paste,6,0.041666667,3
wheast_paste,6,0.166666667,0
wheast_paste,6,0.333333333,0
wheast_paste,6,1,0
wheast_paste,6,2,0
wheast_paste,6,3,0
wheast_paste,6,4,0
wheast_paste,6,5,0
wheast_paste,6,6,0
wheast_paste,6,7,0
wheast_paste,6,8,0
wheast_paste,6,9,0
wheast_paste,6,10,0
wheast_paste,6,11,0
wheast_paste,6,12,0
wheast_paste,6,14,0
wheast_paste,6,15,0
wheast_paste,6,16,0
wheast_paste,6,17,0
wheast_paste,6,18,0
wheast_paste,6,19,0
wheast_paste,6,20,0
wheast_paste,6,21,0
wheast_paste,6,22,0
wheast_paste,6,23,0
wheast_paste,6,24,0
wheast_paste,6,25,0
wheast_paste,6,26,0
wheast_paste,6,27,0
wheast_paste,6,28,0
wheast_paste,6,29,0
wheast_paste,6,30,0
wheast_paste,6,31,0
wheast_paste,6,32,0
wheast_paste,6,33,0
wheast_paste,6,34,0
wheast_paste,8,0.041666667,0
wheast_paste,8,0.166666667,2
wheast_paste,8,0.333333333,1
wheast_paste,8,1,0
wheast_paste,8,2,0
wheast_paste,8,3,0
wheast_paste,8,4,0
wheast_paste,8,5,0
wheast_paste,8,6,0
wheast_paste,8,7,0
wheast_paste,8,8,0
wheast_paste,8,9,0
wheast_paste,8,10,1
wheast_paste,8,11,0
wheast_paste,8,12,0
wheast_paste,8,14,0
wheast_paste,8,15,0
wheast_paste,8,16,0
wheast_paste,8,17,0
wheast_paste,8,18,0
wheast_paste,8,19,0
wheast_paste,8,20,0
wheast_paste,8,21,0
wheast_paste,8,22,0
wheast_paste,8,23,0
wheast_paste,8,24,0
wheast_paste,8,25,0
wheast_paste,8,26,0
wheast_paste,8,27,0
